Song Bum-Keun | 송범근 | Jeonbuk Motors | Goalkeeper | 31
Lee Ju-Hyun | 이주현 | Jeonbuk Motors | Goalkeeper | 1
Gong Si-Hyeun | 공시현 | Jeonbuk Motors | Goalkeeper | 29
Lee Han-gyeol | 이한결 | Jeonbuk Motors | Goalkeeper | 51
Jeon Ji-Wan | 전지완 | Jeonbuk Motors | Goalkeeper | 71
Chung Dae-young | 정대영 | Jeonbuk Motors | Goalkeeper | 91
Kim Young-Bin | 김영빈 | Jeonbuk Motors | Defender | 2
Yeon Je-Un | 연제운 | Jeonbuk Motors | Defender | 3
Cho Wi-Je | 조위제 | Jeonbuk Motors | Defender | 4
Park Ji-Su | 박지수 | Jeonbuk Motors | Defender | 5
Kim Ha-Jun | 김하준 | Jeonbuk Motors | Defender | 15
Kim Jun-Young | 김준영 |  Jeonbuk Motors | Defender | 22
Kim Tae-Hwan | 김태환 | Jeonbuk Motors | Defender | 23
Lee Sang-Myung | 이상명 | Jeonbuk Motors | Defender | 24
Hwang Seung-Jun | 황승준 | Jeonbuk Motors | Defender | 27
Seo Jeong-Hyeok | 서정혁 | Jeonbuk Motors | Defender | 39
Kim Ju-Hyeong | 김주형 | Jeonbuk Motors | Defender | 44
Choi Jin-Woong | 최진웅 | Jeonbuk Motors | Defender | 55
Choi Woo-Jin | 최우진 | Jeonbuk Motors | Defender | 66
Kim Su-Hyeong | 김수형 | Jeonbuk Motors | Defender | 74
Kim Tae-Hyun | 김태현 | Jeonbuk Motors | Defender | 77
Kwak Hee-Byeok | 곽희벽 | Jeonbuk Motors | Defender | 80
Maeng Seong-Ung | 맹성웅 | Jeonbuk Motors | Midfielder | 6
Oberdan | 오베르단 | Jeonbuk Motors | Midfielder | 8
Kang Sang-Yoon | 강상윤 | Jeonbuk Motors | Midfielder | 13
João Gamboa | 감보아 | Jeonbuk Motors | Midfielder | 16
Jin Tae-Ho | 진태호 | Jeonbuk Motors | Midfielder | 17
Moon Jun-Hyeok | 문준혁 | Jeonbuk Motors | Midfielder | 26
Lee Yeong-Jae | 이영재 | Jeonbuk Motors | Midfielder | 28
Kim Yeong-Hwan | 김영환 | Jeonbuk Motors | Midfielder | 30
Jang Nam-ung | 장남웅 | Jeonbuk Motors | Midfielder | 36
Woo Hyun-Soo | 우현수 | Jeonbuk Motors | Midfielder | 42
Lee Geon-Hee | 이건희 | Jeonbuk Motors | Midfielder | 47
Park Hyun-Min | 박현민 | Jeonbuk Motors | Midfielder | 70
Yoon Hyun-Seok | 윤현석 | Jeonbuk Motors | Midfielder | 88
Kim Jin-Gyu | 김진규 | Jeonbuk Motors | Midfielder | 97
Lee Dong-Jun | 이동준 | Jeonbuk Motors | Midfielder | 7
Lee Seung-Woo | 이승우 | Jeonbuk Motors | Midfielder | 10
Kim Seung-Sub | 김승섭 | Jeonbuk Motors | Midfielder | 11
P. Twumasi | 츄마시 | Jeonbuk Motors | Midfielder | 21
Han Seok-Jin | 한석진 | Jeonbuk Motors | Midfielder | 33
Um Seung-Min | 엄승민 | Jeonbuk Motors | Midfielder | 34
An Tae-Hun | 안태훈 | Jeonbuk Motors | Midfielder | 40
Kim Chang-Hun | 김창훈 | Jeonbuk Motors | Midfielder | 79
Lim Jun-Hwi | 임준휘 | Jeonbuk Motors | Midfielder | 98
Tiago Orobó | 티아고 | Jeonbuk Motors | Forward | 9
Park Ju-Yeong | 박주영 | Jeonbuk Motors | Forward | 19
Jeong Sang-Woon | 정상운 | Jeonbuk Motors | Forward | 90
Kim Du-Hyeon | 김두현 | Jeonbuk Motors | Forward | 92
A. Compagno | 콤파뇨 | Jeonbuk Motors | Forward | 96
Bruno Mota | 모따 | Jeonbuk Motors | Forward | 99

Lee Chang-Geun | 이창근 | Daejeon Citizen | Goalkeeper | 1
Lee Jun-Seo | 이준서 | Daejeon Citizen | Goalkeeper | 25
Kim Min-Soo | 김민수 | Daejeon Citizen | Goalkeeper | 31
Lee Kyeong-Tae | 이경태 | Daejeon Citizen | Goalkeeper | 40
Park Kyu-Hyun | 박규현 | Daejeon Citizen | Defender | 2
Kim Min-Duk | 김민덕 | Daejeon Citizen | Defender | 3
Cho Sung-Gwon | 조성권 | Daejeon Citizen | Defender | 4
Lim Jong-Eun | 임종은 | Daejeon Citizen | Defender | 5
Kang Yun-Sung | 강윤성 | Daejeon Citizen | Defender | 6
Kim Jin-Ya | 김진야 | Daejeon Citizen | Defender | 13
Lee Myung-Jae | 이명재 | Daejeon Citizen | Defender | 16
Oh Jae-Suk | 오재석 | Daejeon Citizen | Defender | 22
