Han Junsu | 한준수 | KIA | Catcher | 25
Ju Hyosang | 주효상 | KIA | Catcher | 22
Jarryd Dale | 데일 | KIA | Infielder | 32
Jeong Hyeonchang | 정현창 | KIA | Infielder | 12
Kim Doyeong | 김도영 | KIA | Infielder | 5
Kim Gyuseong | 김규성 | KIA | Infielder | 14
Kim Seonbin | 김선빈 | KIA | Infielder | 3
Park Min | 박민 | KIA | Infielder | 2
Yoon Dohyun | 윤도현 | KIA | Infielder | 16
Park Sangjun | 박상준 | KIA | Infielder | 50
Oh Seonwoo | 오선우 | KIA | Infielder | 56
Harold Castro | 카스트로 | KIA | Center Fielder | 26
Kim Horyeong | 김호령 | KIA | Outfielder | 27
Ko Jongwook | 고종욱 | KIA | Outfielder | 57
Na Seongbeom | 나성범 | KIA | Outfielder | 47
Park Jaehyun | 박재현 | KIA | Outfielder | 15
Park Jeongwoo | 박정우 | KIA | Outfielder | 1
Adam Oller | 올러 | KIA | Pitcher | 33
Han Jaeseung | 한재승 | KIA | Pitcher | 55
Hong Gunhee | 홍건희 | KIA | Pitcher | 52
Hong Mingyu | 홍민규 | KIA | Pitcher | 67
Hwang Dongha | 황동하 | KIA | Pitcher | 41
James Naile | 네일 | KIA | Pitcher | 40
Jo Sangwoo | 조상우 | KIA | Pitcher | 11
Kim Beomsoo | 김범수 | KIA | Pitcher | 49
Kim Kihoon | 김기훈 | KIA | Pitcher | 53
Kim Taehyung | 김태형 | KIA | Pitcher | 10
Lee Euilee | 이의리 | KIA | Pitcher | 48
Lee Taeyang | 이태양 | KIA | Pitcher | 44
Seong Youngtak | 성영탁 | KIA | Pitcher | 65
Yang Hyunjong | 양현종 | KIA | Pitcher | 54
Choi Jimin | 최지민 | KIA | Pitcher | 39
Kim Geonguk | 김건국 | KIA | Pitcher | 43
Jung Haeyoung | 정해영 | KIA | Pitcher | 62
Yoo Seungcheol |  | KIA | Pitcher | 0
Yoon Joonghyun |  | KIA | Pitcher | 0
Yoon Youngcheol |  | KIA | Pitcher | 0
Yu Jiseong |  | KIA | Pitcher | 0
Lee Hojin |  | KIA | Pitcher | 0
Lee Homin |  | KIA | Pitcher | 0
Lee Hyeongbeom |  | KIA | Pitcher | 0
Lee Joonyoung |  | KIA | Pitcher | 0
Lee Seongwon |  | KIA | Pitcher | 0
Lee Seungjae |  | KIA | Pitcher | 0
Na Yeonwoo |  | KIA | Pitcher | 0
Oh Kyuseok |  | KIA | Pitcher | 0
Kim Yangsoo |  | KIA | Pitcher | 0
Kwak Dogyu |  | KIA | Pitcher | 0
Lee Dohyun |  | KIA | Pitcher | 0
Kim Kyungmook |  | KIA | Pitcher | 0
Kim Saeil |  | KIA | Pitcher | 0
Kim Sangbeom |  | KIA | Pitcher | 0
Kim Sihoon |  | KIA | Pitcher | 0
Kim Sunwoo |  | KIA | Pitcher | 0
Kim Daeyu |  | KIA | Pitcher | 0
Kim Dohyeon |  | KIA | Pitcher | 0
Kim Hyunsoo |  | KIA | Pitcher | 0
Kim Hyunsoo |  | KIA | Pitcher | 0
Kim Jeongyeop |  | KIA | Pitcher | 0
Kim Jungbin |  | KIA | Pitcher | 0
Kang Yijun |  | KIA | Pitcher | 0
Jang Jaehyouk |  | KIA | Pitcher | 0
Jang Mingi |  | KIA | Pitcher | 0
Jeon Sanghyun |  | KIA | Pitcher | 0
Jeong Chanhwa |  | KIA | Pitcher | 0
Jeong Dahun |  | KIA | Pitcher | 0
Ji Hyun |  | KIA | Pitcher | 0
Jo Geonho |  | KIA | Pitcher | 0
Choi Geonhee |  | KIA | Pitcher | 0
Choi Yuchan |  | KIA | Pitcher | 0
Kim Taegoon |  | KIA | Catcher | 0
Kwon Hyeokgyung |  | KIA | Catcher | 0
Lee Dohoon |  | KIA | Catcher | 0
Sin Myeongseung |  | KIA | Catcher | 0
Byeon Woohyeok |  | KIA | Infielder | 0
Cha Sanghyun |  | KIA | Infielder | 0
Choi Jeongyong |  | KIA | Infielder | 0
Eom Junhyun |  | KIA | Infielder | 0
Han Junhee |  | KIA | Infielder | 0
Hwang Daein |  | KIA | Infielder | 0
Hwang Seokmin |  | KIA | Infielder | 0
Jang Sihyeon |  | KIA | Infielder | 0
Jung Haewon |  | KIA | Infielder | 0
Kim Jaehyun |  | KIA | Infielder | 0
Lee Hoyeon |  | KIA | Infielder | 0
Lee Junbeom |  | KIA | Infielder | 0
Park Jonghyuk |  | KIA | Infielder | 0
Song Hojung |  | KIA | Infielder | 0
Cheon Jeongmin |  | KIA | Outfielder | 0
Han Seungyeon |  | KIA | Outfielder | 0
Kim Mingyu |  | KIA | Outfielder | 0
Kim Minsoo |  | KIA | Outfielder | 0
Kim Seokhwan |  | KIA | Outfielder | 0
Kwak Donghyo |  | KIA | Outfielder | 0
Lee Changjin |  | KIA | Outfielder | 0
Lee Youngjae |  | KIA | Outfielder | 0
Park Heon |  | KIA | Outfielder | 0
Oh Jeonghwan |  | KIA | Second baseman | 0


Ahn Hyunmin | 안현민 | KT | Catcher | 23
Han Seungtaek | 한승택 | KT | Catcher | 45
Jang Seongwoo | 장성우 | KT | Catcher | 22
Kang Hyeonwoo | 강현우 | KT | Catcher | 55
Kim Sangsu | 김상수 | KT | Infielder | 7
Kwon Dongjin | 권동진 | KT | Infielder | 52
Lee Kangmin | 이강민 | KT | Infielder | 6
Oh Yoonseok | 오윤석 | KT | Infielder | 4
Ryu Hyunin | 류현인 | KT | Infielder | 9
Heo Kyoungmin | 허경민 | KT | Infielder | 13
Yoo Junkyu | 유준규 | KT | Infielder | 67
Kang Minseong | 강민성 | KT | Infielder | 5
Jang Joonwon | 장준원 | KT | Infielder | 56
Bae Jeongdae | 배정대 | KT | Outfielder | 27
Choi Wonjoon | 최원준 | KT | Outfielder | 3
Kim Hyunsoo | 김현수 | KT | Outfielder | 10
Lee Jeonghoon | 이정훈 | KT | Outfielder | 33
Sam Hilliard | 힐리어드 | KT | Outfielder | 34
Kim Minhyeok | 김민혁 | KT | Outfielder | 53
Ahn Chiyeong | 안치영 | KT | Outfielder | 8
Caleb Boushley | 보쉴리 | KT | Pitcher | 36
Han Seunghyuk | 한승혁 | KT | Pitcher | 35
Jeon Yongju | 전용주 | KT | Pitcher | 29
Ju Kwon | 주권 | KT | Pitcher | 38
Kim Minsoo | 김민수 | KT | Pitcher | 26
Ko Yeongpyo | 고영표 | KT | Pitcher | 1
Kouki Sugimoto | 스기모토 | KT | Pitcher | 11
Matt Sauer | 사우어 | KT | Pitcher | 32
Oh Wonseok | 오원석 | KT | Pitcher | 47
Park Yeonghyeon | 박영현 | KT | Pitcher | 60
So Hyeongjun | 소형준 | KT | Pitcher | 30
Son Donghyeon | 손동현 | KT | Pitcher | 41
Woo Kyumin | 우규민 | KT | Pitcher | 12
Cho Daehyeon |  | KT | Catcher | 0
Kim Minseok |  | KT | Catcher | 0
Kim Yubin |  | KT | Catcher | 0
Lee Junghwan |  | KT | Catcher | 0
Lee Seunghyun |  | KT | Catcher | 0
Park Chiseong |  | KT | Catcher | 0
Kim Geonhwi |  | KT | Infielder | 0
Lee Yonghyeon |  | KT | Infielder | 0
Lim Sangwoo |  | KT | Infielder | 0
Oh Seojin |  | KT | Infielder | 0
Park Seongjun |  | KT | Infielder | 0
Son Minseok |  | KT | Infielder | 0
Choi Donghee |  | KT | Outfielder | 0
Choi Seongmin |  | KT | Outfielder | 0
Jang Jinhyuk |  | KT | Outfielder | 0
Jeong Yeongung |  | KT | Outfielder | 0
Kim Kyunghwan |  | KT | Outfielder | 0
Lee Jaewon |  | KT | Outfielder | 0
Moon Sangcheol |  | KT | Outfielder | 0
Park Minseok |  | KT | Outfielder | 0
An Insan |  | KT | Pitcher | 0
Bae Jeseong |  | KT | Pitcher | 0
Cho Ihyeon |  | KT | Pitcher | 0
Choi Donghwan |  | KT | Pitcher | 0
Go Junhyeok |  | KT | Pitcher | 0
Han Chahyeon |  | KT | Pitcher | 0
Han Jiwoong |  | KT | Pitcher | 0
Jang Minho |  | KT | Pitcher | 0
Jeong Hyeonwoo |  | KT | Pitcher | 0
Ji Myeongseong |  | KT | Pitcher | 0
Jung Jungwoo |  | KT | Pitcher | 0
Kang Geon |  | KT | Pitcher | 0
Kim Donghyun |  | KT | Pitcher | 0
Kim Geonung |  | KT | Pitcher | 0
Kim Gyuhan |  | KT | Pitcher | 0
Kim Huiyeon |  | KT | Pitcher | 0
Kim Jaewon |  | KT | Pitcher | 0
Kim Jeongwoon |  | KT | Pitcher | 0
Kim Taeo |  | KT | Pitcher | 0
Kwon Hyojun |  | KT | Pitcher | 0
Kwon Sungjun |  | KT | Pitcher | 0
Lee Chaeho |  | KT | Pitcher | 0
Lee Hyeonmin |  | KT | Pitcher | 0
Lee Joonmyung |  | KT | Pitcher | 0
Lee Junghyun |  | KT | Pitcher | 0
Lee Minjun |  | KT | Pitcher | 0
Lee Sangdong |  | KT | Pitcher | 0
Lee Sangwoo |  | KT | Pitcher | 0
Lee Wonjae |  | KT | Pitcher | 0
Lim Junhyeung |  | KT | Pitcher | 0
Moon Yongik |  | KT | Pitcher | 0
Park Geonwoo |  | KT | Pitcher | 0
Park Jihoon |  | KT | Pitcher | 0
Park Junhyeok |  | KT | Pitcher | 0
Shin Bumjoon |  | KT | Pitcher | 0
Won Sanghyeon |  | KT | Pitcher | 0
Yoon Sangin |  | KT | Pitcher | 0


Lee Jooheon | 이주헌 | LG | Catcher | 63
Park Dongwon | 박동원 | LG | Catcher | 27
Austin Dean | 오스틴 | LG | Infielder | 23
Cheon Seongho | 천성호 | LG | Infielder | 53
Koo Bonhyeok | 구본혁 | LG | Infielder | 6
Lee Yeongbin | 이영빈 | LG | Infielder | 7
Moon Bokyeong | 문보경 | LG | Infielder | 2
Oh Jihwan | 오지환 | LG | Infielder | 10
Shin Minjae | 신민재 | LG | Infielder | 4
Choi Wonyeong | 최원영 | LG | Outfielder | 3
Hong Changgi | 홍창기 | LG | Outfielder | 51
Lee Jaewon | 이재원 | LG | Outfielder | 52
Moon Seongju | 문성주 | LG | Outfielder | 8
Park Haemin | 박해민 | LG | Outfielder | 17
Song Chanui | 송찬의 | LG | Infielder | 55
Anders Tolhurst | 톨허스트 | LG | Pitcher | 30
Ham Dukjoo | 함덕주 | LG | Pitcher | 11
Im Changyu | 임찬규 | LG | Pitcher | 1
Jang Hyunsik | 장현식 | LG | Pitcher | 50
Kim Jinseong | 김진성 | LG | Pitcher | 42
Kim Jinsu | 김진수 | LG | Pitcher | 45
Kim Yeongwoo | 김영우 | LG | Pitcher | 67
Kim Yooyeong | 김유영 | LG | Pitcher | 0
Seong Donghyun | 성동현 | LG | Pitcher | 34
Song Seungki | 송승기 | LG | Pitcher | 13
Woo Kanghoon | 우강훈 | LG | Pitcher | 20
Yi Jungyong | 이정용 | LG | Pitcher | 31
Yonny Chirinos | 치리노스 | LG | Pitcher | 46
Yoo Youngchan | 유영찬 | LG | Pitcher | 54
Lachlan Wells | 웰스 | LG | Pitcher | 68
Kim Donghyun | 김동현 | LG | Pitcher | 43
Cho Geonhee | 조건희 | LG | Pitcher | 48
Park Siwon | 박시원 | LG | Pitcher | 58
Jun Gyeongwon |  | LG | Catcher | 0
Kang Minki |  | LG | Catcher | 0
Kim Juntae |  | LG | Catcher | 0
Kim Minsoo |  | LG | Catcher | 0
Lee Hanrim |  | LG | Catcher | 0
Park Junki |  | LG | Catcher | 0
Eom Taekyoung |  | LG | Infielder | 0
Joo Junghwan |  | LG | Infielder | 0
Kang Minkyun |  | LG | Infielder | 0
Kim Jeongyul |  | LG | Infielder | 0
Kim Joosung |  | LG | Infielder | 0
Kim Sungjin |  | LG | Infielder | 0
Kwak Minho |  | LG | Infielder | 0
Lee Jibaek |  | LG | Infielder | 0
Lee Taehoon |  | LG | Infielder | 0
Moon Jeongbin |  | LG | Infielder | 0
Son Yungjun |  | LG | Infielder | 0
Song Daehyun |  | LG | Infielder | 0
Woo Jungan |  | LG | Infielder | 0
Ham Changgeon |  | LG | Outfielder | 0
Kim Hyunjong |  | LG | Outfielder | 0
Kwon Dongyeok |  | LG | Outfielder | 0
Lee Junseo |  | LG | Outfielder | 0
Park Hyeonwoo |  | LG | Outfielder | 0
Park Kwanwoo |  | LG | Outfielder | 0
Seo Yeoungjun |  | LG | Outfielder | 0
An Sihoo |  | LG | Pitcher | 0
Bae Jaejun |  | LG | Pitcher | 0
Baek Seunghyun |  | LG | Pitcher | 0
Cho Chuhyeon |  | LG | Pitcher | 0
Cho Wontae |  | LG | Pitcher | 0
Choi Chaeheung |  | LG | Pitcher | 0
Ha Yeongjin |  | LG | Pitcher | 0
Heo Junhyeok |  | LG | Pitcher | 0
Jang Shihwan |  | LG | Pitcher | 0
Jin Wooyeong |  | LG | Pitcher | 0
Jung Wooyeong |  | LG | Pitcher | 0
Kim Daehyun |  | LG | Pitcher | 0
Kim Jiyong |  | LG | Pitcher | 0
Kim Jongun |  | LG | Pitcher | 0
Kim Juon |  | LG | Pitcher | 0
Kim Kangryul |  | LG | Pitcher | 0
Kwon Woojun |  | LG | Pitcher | 0
Lee Jigang |  | LG | Pitcher | 0
Lee Jongjun |  | LG | Pitcher | 0
Lee Minho |  | LG | Pitcher | 0
Lee Miteum |  | LG | Pitcher | 0
Lee Sangyung |  | LG | Pitcher | 0
Lee Woochan |  | LG | Pitcher | 0
Lim Jungkyun |  | LG | Pitcher | 0
Park Junseong |  | LG | Pitcher | 0
Park Myeonggeun |  | LG | Pitcher | 0
Park Seongjin |  | LG | Pitcher | 0
Son Juyeong |  | LG | Pitcher | 0
Sung Junseo |  | LG | Pitcher | 0
Won Sanghoon |  | LG | Pitcher | 0
Woo Myeonghyeon |  | LG | Pitcher | 0
Yang Jinhyuk |  | LG | Pitcher | 0
Yang Woojin |  | LG | Pitcher | 0
Yoon Hyungmin |  | LG | Pitcher | 0
Lee Jeongjun |  | LG | Pitcher | 0


Kim Hyungjoon | 김형준 | NC | Catcher | 25
Kim Jeongho | 김정호 | NC | Catcher | 42
An Joongyeol | 안중열 | NC | Catcher | 22
Choi Jeongwon | 최정원 | NC | Infielder | 14
Heo Yun | 허윤 | NC | Infielder | 4
Kim Juwon | 김주원 | NC | Infielder | 7
Kim Wheejip | 김휘집 | NC | Infielder | 44
Matt Davidson | 데이비슨 | NC | Infielder | 24
Oh Taeyang | 오태양 | NC | Infielder | 6
Oh Youngsoo | 오영수 | NC | Infielder | 34
Park Minwoo | 박민우 | NC | Infielder | 2
Seo Hocheol | 서호철 | NC | Infielder | 5
Shin Jaein | 신재인 | NC | Infielder | 9
Kim Hanbyeol | 김한별 | NC | Infielder | 13
Do Taehoon | 도태훈 | NC | Infielder | 16
Cheon Jaehwan | 천재환 | NC | Outfielder | 23
Han Seokhyun | 한석현 | NC | Outfielder | 33
Lee Wooseong | 이우성 | NC | Outfielder | 55
Park Kunwoo | 박건우 | NC | Outfielder | 37
Go Junhwi | 고준휘 | NC | Outfielder | 49
Park Siwon | 박시원 | NC | Outfielder | 55
Kwon Heedong | 권희동 | NC | Outfielder | 36
Bae Jaehwan | 배재환 | NC | Pitcher | 61
Chun Samin | 전사민 | NC | Pitcher | 57
Curtis Taylor | 테일러 | NC | Pitcher | 66
Drew VerHagen | 버하겐 | NC | Pitcher | 28
Kim Jinho | 김진호 | NC | Pitcher | 54
Kim Younggyu | 김영규 | NC | Pitcher | 17
Koo Changmo | 구창모 | NC | Pitcher | 59
Lee Junhyeok | 이준혁 | NC | Pitcher | 40
Lim Jimin | 임지민 | NC | Pitcher | 19
Mok Jihoon | 목지훈 | NC | Pitcher | 20
Natsuki Toda | 토다 | NC | Pitcher | 11
Ryou Jinoug | 류진욱 | NC | Pitcher | 41
Shin Minhyuk | 신민혁 | NC | Pitcher | 18
Lim Jeongho | 임정호 | NC | Pitcher | 30
Won Jonghae | 원종해| NC | Pitcher | 63
Kim Donghyun |  | NC | Catcher | 0
Lee Heeseong |  | NC | Catcher | 0
Park Sungjae |  | NC | Catcher | 0
Shin Minwoo |  | NC | Catcher | 0
Han Jaehwan |  | NC | Infielder | 0
Hong Jongpyo |  | NC | Infielder | 0
Jang Changhoon |  | NC | Infielder | 0
Jo Hyowon |  | NC | Infielder | 0
Kim Geon |  | NC | Infielder | 0
Kim Myeonggyu |  | NC | Infielder | 0
Lee Han |  | NC | Infielder | 0
Park Inwoo |  | NC | Infielder | 0
Park Joochan |  | NC | Infielder | 0
Shin Seongho |  | NC | Infielder | 0
Yoo Jaehyun |  | NC | Infielder | 0
Yoon Junhyuk |  | NC | Infielder | 0
Ahn Jiwon |  | NC | Outfielder | 0
Bae Sangho |  | NC | Outfielder | 0
Jo Changyeon |  | NC | Outfielder | 0
Kim Beomjun |  | NC | Outfielder | 0
Ko Seungwan |  | NC | Outfielder | 0
Oh Janghan |  | NC | Outfielder | 0
Park Youngbin |  | NC | Outfielder | 0
Yang Gaonsol |  | NC | Outfielder | 0
Cho Minsuk |  | NC | Pitcher | 0
Choi Sungyoung |  | NC | Pitcher | 0
Choi Wooseok |  | NC | Pitcher | 0
Choi Yohan |  | NC | Pitcher | 0
Choi Yunhyeok |  | NC | Pitcher | 0
Hong Jaemoon |  | NC | Pitcher | 0
Jeon Changmin |  | NC | Pitcher | 0
Jeong Teunteun |  | NC | Pitcher | 0
Jung Juyoung |  | NC | Pitcher | 0
Jung Kubum |  | NC | Pitcher | 0
Kang Taegyeong |  | NC | Pitcher | 0
Kim Jaeyeol |  | NC | Pitcher | 0
Kim Junwon |  | NC | Pitcher | 0
Kim Nokwon |  | NC | Pitcher | 0
Kim Taegyeong |  | NC | Pitcher | 0
Kim Taehoon |  | NC | Pitcher | 0
Kim Taehyun |  | NC | Pitcher | 0
Kim Taewoo |  | NC | Pitcher | 0
Kim Yeol |  | NC | Pitcher | 0
Lee Jaehak |  | NC | Pitcher | 0
Lee Semin |  | NC | Pitcher | 0
Noh Jaewon |  | NC | Pitcher | 0
Park Dongsoo |  | NC | Pitcher | 0
Park Jihan |  | NC | Pitcher | 0
Riley Thompson |  | NC | Pitcher | 0
Shin Yeongwoo |  | NC | Pitcher | 0
Soi Hyeon |  | NC | Pitcher | 0
Son Joohwan |  | NC | Pitcher | 0
Son Minseo |  | NC | Pitcher | 0
Yoon Seohyeon |  | NC | Pitcher | 0
Yun Seonghwan |  | NC | Pitcher | 0


Jo Hyeongwoo | 조형우 | SSG | Catcher | 20
Lee Jiyoung | 이지영 | SSG | Catcher | 56
Kim Minsik | 김민식 | SSG | Catcher | 24
Choi Jeong | 최정 | SSG | Infielder | 14
Hong Daein | 홍대인 | SSG | Infielder | 97
Jeong Junjae | 정준재 | SSG | Infielder | 3
Ko Myeongjun | 고명준 | SSG | Infielder | 18
Park Sunghan | 박성한 | SSG | Infielder | 2
Seok Jeungwoo | 석정우 | SSG | Infielder | 52
An Sanghyeon | 안상현 | SSG | Infielder | 10
Choi Joonwoo | 최준우 | SSG | Infielder | 7
Chae Hyunwoo | 채현우 | SSG | Outfielder | 15
Choi Jihoon | 최지훈 | SSG | Outfielder | 54
Guillermo Heredia | 에레디아 | SSG | Outfielder | 27
Han Yuseom | 한유섬 | SSG | Outfielder | 35
Kim Jaehwan | 김재환 | SSG | Outfielder | 32
Kim Sungwook | 김성욱 | SSG | Outfielder | 31
Oh Taegon | 오태곤 | SSG | Outfielder | 37
Kim Changpyung | 김창평 | SSG | Outfielder | 64
Anthony Veneziano | 베니지아노 | SSG | Pitcher | 41
Choi Minjun | 최민준 | SSG | Pitcher | 30
Han Doosol | 한두솔 | SSG | Pitcher | 34
Jang Jihun | 장지훈 | SSG | Pitcher | 21
Jeon Yeongjun | 전영준 | SSG | Pitcher | 28
Jeong Dongyoon | 정동윤 | SSG | Pitcher | 51
Jo Byeonghyeon | 조병현 | SSG | Pitcher | 19
Kim Keonwoo | 김건우 | SSG | Pitcher | 39
Kim Min | 김민 | SSG | Pitcher | 1
Lee Rowoon | 이로운 | SSG | Pitcher | 92
Mitch White | 화이트 | SSG | Pitcher | 55
Moon Seungwon | 문승원 | SSG | Pitcher | 42
Noh Kyungeun | 노경은 | SSG | Pitcher | 38
Park Sihoo | 박시후 | SSG | Pitcher | 57
Lee Kisoon | 이기순 | SSG | Pitcher | 4
Shota Takeda | 타케다 | SSG | Pitcher | 23
Hyun Wonhwe |  | SSG | Catcher | 0
Kim Kyumin |  | SSG | Catcher | 0
Kim Minbeom |  | SSG | Catcher | 0
Lee Yulye |  | SSG | Catcher | 0
Shin Beomsoo |  | SSG | Catcher | 0
Choi Yunseok |  | SSG | Infielder | 0
Jaeyeon Ahn |  | SSG | Infielder | 0
Jang Hyunjin |  | SSG | Infielder | 0
Kim Minjun |  | SSG | Infielder | 0
Kim Seonghyeon |  | SSG | Infielder | 0
Kim Sungmin |  | SSG | Infielder | 0
Kim Suyun |  | SSG | Infielder | 0
Kim Taeyun |  | SSG | Infielder | 0
Kim Yosep |  | SSG | Infielder | 0
Moon Sangjun |  | SSG | Infielder | 0
Park Jihwan |  | SSG | Infielder | 0
Jang Jaeyul |  | SSG | Outfielder | 0
Kim Jeongmin |  | SSG | Outfielder | 0
Lee Jeongbeom |  | SSG | Outfielder | 0
Lee Seungmin |  | SSG | Outfielder | 0
Lee Wonjun |  | SSG | Outfielder | 0
Lim Geunwoo |  | SSG | Outfielder | 0
Oh Sihu |  | SSG | Outfielder | 0
Park Jeongbin |  | SSG | Outfielder | 0
Park Sejik |  | SSG | Outfielder | 0
Ryu Hyoseung |  | SSG | Outfielder | 0
Seungbin Lee |  | SSG | Outfielder | 0
Baek Seunggeon |  | SSG | Pitcher | 0
Byun Geonwoo |  | SSG | Pitcher | 0
Cheon Beomseok |  | SSG | Pitcher | 0
Cho Yohan |  | SSG | Pitcher | 0
Jo Jaewoo |  | SSG | Pitcher | 0
Kim Dohyun |  | SSG | Pitcher | 0
Kim Hyunjae |  | SSG | Pitcher | 0
Kim Jaehoon |  | SSG | Pitcher | 0
Kim Joonyoung |  | SSG | Pitcher | 0
Kim Junmo |  | SSG | Pitcher | 0
Choi Suho |  | SSG | Pitcher | 0
Choi Yongjun |  | SSG | Pitcher | 0
Ha Jaehoon |  | SSG | Pitcher | 0
Han Jiheon |  | SSG | Pitcher | 0
Kim Kwanghyun |  | SSG | Pitcher | 0
Kim Minjun |  | SSG | Pitcher | 0
Kim Taehyun |  | SSG | Pitcher | 0
Kim Taekhyung |  | SSG | Pitcher | 0
Lee Dowoo |  | SSG | Pitcher | 0
Lee Geonwook |  | SSG | Pitcher | 0
Lee Juhyung |  | SSG | Pitcher | 0
Lee Juneki |  | SSG | Pitcher | 0
Park Jonghoon |  | SSG | Pitcher | 0
Park Kiho |  | SSG | Pitcher | 0
Park Myeonghyeon |  | SSG | Pitcher | 0
Park Sanghoo |  | SSG | Pitcher | 0
Ryu Hyungon |  | SSG | Pitcher | 0
Seo Jinyong |  | SSG | Pitcher | 0
Shin Jihwan |  | SSG | Pitcher | 0
Shin Sangyeon |  | SSG | Pitcher | 0
Song Yeongjin |  | SSG | Pitcher | 0
Yun Seongbo |  | SSG | Pitcher | 0
Yun Taehyeon |  | SSG | Pitcher | 0


Yang Euiji | 양의지 | 두산 | Catcher | 25
Yun Junho | 윤준호 | 두산 | Catcher | 27
Kim Kiyeon | 김기연 | 두산 | Catcher | 22
An Jaeseok | 안재석 | 두산 | Infielder | 62
Kang Seungho | 강승호 | 두산 | Infielder | 23
Lee Yoochan | 이유찬 | 두산 | Infielder | 13
Park Chanho | 박찬호 | 두산 | Infielder | 7
Park Jihoon | 박지훈 | 두산 | Infielder | 37
Park Junsun | 박준순 | 두산 | Infielder | 52
Yang Seokhwan | 양석환 | 두산 | Infielder | 53
Im Jongsung | 임종성 | 두산 | Infielder | 3
Oh Myungjin | 오명진 | 두산 | Infielder | 6
Daz Cameron | 카메론 | 두산 | Outfielder | 24
Jeong Soobin | 정수빈 | 두산 | Outfielder | 31
Jo Soohaeng | 조수행 | 두산 | Outfielder | 51
Kim Intae | 김인태 | 두산 | Outfielder | 33
Kim Minseok | 김민석 | 두산 | Outfielder | 2
Son Ahseop | 손아섭 | 두산 | Outfielder | 8
Choi Minseok | 최민석 | 두산 | Pitcher | 68
Choi Seungyong | 최승용 | 두산 | Pitcher | 28
Ichiro Tamura | 타무라 | 두산 | Pitcher | 18
Kim Jeongwoo | 김정우 | 두산 | Pitcher | 16
Kim Taekyeon | 김택연 | 두산 | Pitcher | 63
Kwak Been | 곽빈 | 두산 | Pitcher | 47
Lee Byeongheon | 이병헌 | 두산 | Pitcher | 29
Lee Yongchan | 이용찬 | 두산 | Pitcher | 45
